teacher_id,name
1,Introduction to Programming
1,Data Structures and Algorithms
2,Database Management Systems
2,Advanced SQL and Query Optimization
3,Web Development Fundamentals
3,Modern JavaScript Frameworks
4,Computer Networks
4,Network Security
5,Artificial Intelligence Basics
5,Machine Learning Fundamentals
1,Object-Oriented Programming
2,Software Engineering Principles
3,Frontend Development with React
4,Cloud Computing and DevOps
5,Deep Learning and Neural Networks
1,Python for Data Science
2,Database Design and Normalization
3,Mobile Application Development
4,Cybersecurity Fundamentals
5,Natural Language Processing
1,Operating Systems
2,Distributed Systems
3,Full Stack Web Development
4,Computer Architecture
5,Computer Vision